actual_irrigation_demand,predicted_irrigation_demand,irrigation_recommendation
20.976671970394033,23.278305,MEDIUM
22.392313828760287,20.598682,MEDIUM
20.74400254393528,20.643389,MEDIUM
18.935480478380637,20.31984,MEDIUM
21.714179785578967,19.333344,MEDIUM
19.16506745561664,19.813187,MEDIUM
20.69938399196316,19.71693,MEDIUM
22.44060808641538,19.66126,MEDIUM
22.448900150180847,20.544971,MEDIUM
21.410855694641327,21.501137,MEDIUM
23.46426888000362,21.44828,MEDIUM
21.795889554594876,22.08831,MEDIUM
25.077864351840134,22.020555,MEDIUM
21.415270370887185,23.258804,MEDIUM
23.091079189726944,22.550049,MEDIUM
22.344788590590774,22.42099,MEDIUM
22.686487622423844,22.215225,MEDIUM
19.804662277588687,22.220951,MEDIUM
23.506495330104737,21.017242,MEDIUM
23.24471654522038,21.603394,MEDIUM
22.482131201099463,22.11577,MEDIUM
23.11918576810392,22.37588,MEDIUM
22.412248582526836,22.451103,MEDIUM
21.188932498239165,22.334753,MEDIUM
18.638904836506814,21.599117,MEDIUM
22.745559505881406,19.900372,MEDIUM
21.207360877078884,20.550924,MEDIUM
21.227503774396286,20.498386,MEDIUM
20.2374040108074,20.662956,MEDIUM
14.84819557530101,20.48913,MEDIUM
14.34047880222824,15.118372,MEDIUM
12.388299284173463,13.90086,MEDIUM
13.098165561686683,13.7701435,MEDIUM
13.824425938199907,13.447969,MEDIUM
11.316986614871942,13.369549,MEDIUM
12.268125842925734,12.902056,MEDIUM
13.937738612070229,12.643587,MEDIUM
13.264889027921054,13.1136875,MEDIUM
12.888318177115618,13.292894,MEDIUM
10.617436129416674,13.259609,MEDIUM
11.181933297046616,12.443596,MEDIUM
15.432859572644364,11.9099045,MEDIUM
11.18424058794502,13.479834,MEDIUM
14.448488984547506,12.749115,MEDIUM
15.800618834903055,13.579256,MEDIUM
15.749314015722018,14.205254,MEDIUM
15.118522013663654,15.094631,MEDIUM
14.604515021515084,15.342958,MEDIUM
13.059290281172245,15.293207,MEDIUM
13.45639440777064,14.61203,MEDIUM
15.633810527489164,14.178482,MEDIUM
15.458162605683931,14.582533,MEDIUM
13.640178583131807,14.89642,MEDIUM
15.13039855301587,14.603292,MEDIUM
14.393782515598206,14.929298,MEDIUM
13.296445816561258,14.890062,MEDIUM
11.282216875467594,14.368982,MEDIUM
12.931778100883795,13.303686,MEDIUM
10.631110155220142,13.053814,MEDIUM
12.128775555225484,12.151787,MEDIUM
10.845144499193244,13.238079,MEDIUM
10.718869236496328,12.840559,MEDIUM
13.972006151860711,12.608192,MEDIUM
10.440946849371006,13.178669,MEDIUM
9.592020795985272,12.504133,MEDIUM
10.347296878380247,11.741674,MEDIUM
14.09298988807975,11.2449,MEDIUM
11.88971838286433,12.581013,MEDIUM
13.103220982960641,12.520521,MEDIUM
11.778029711526546,12.969,MEDIUM
12.608708058249517,12.585882,MEDIUM
11.777723773496948,12.995794,MEDIUM
14.90131678410741,12.955135,MEDIUM
10.87411636433178,13.962786,MEDIUM
13.220743837340237,13.182461,MEDIUM
15.507711893322023,13.567032,MEDIUM
11.115347222735814,14.276184,MEDIUM
14.71909799901908,13.794863,MEDIUM
14.43565302874151,14.401415,MEDIUM
12.0934333004475,14.575338,MEDIUM
16.422914056576598,14.058723,MEDIUM
14.821084660310715,15.263561,MEDIUM
13.397400856074155,15.298498,MEDIUM
11.284816971368114,15.000565,MEDIUM
12.333356711054464,13.886198,MEDIUM
10.141225635951,13.620449,MEDIUM
13.431364538865836,12.532625,MEDIUM
14.528582523034334,12.916559,MEDIUM
14.825552641354985,13.520706,MEDIUM
20.728946153659123,13.970394,MEDIUM
22.91296899684289,18.048168,MEDIUM
18.323827986537935,20.554996,MEDIUM
20.8881289709216,20.094982,MEDIUM
19.846212821351585,20.394287,MEDIUM
18.93867522459723,20.113426,MEDIUM
21.52489886795619,19.563068,MEDIUM
